url;keyword;position;volume;kd;traffic_pct;seo_pages_key;source
https://www.frontaliereticino.ch/tasse-e-pensione/festivita-ticino/;festivi in ticino;19;720;;2.12;holidays;semrush-organic-raw.csv 2026-04-22
https://frontaliereticino.ch/tasse-e-pensione/festivita-ticino/;festa canton ticino;17;210;;0.00;holidays;semrush-organic-raw.csv 2026-04-22
https://frontaliereticino.ch/guida-frontaliere/mappa-confine/;mappa confine italia svizzera;14;260;;2.12;border-map;semrush-organic-raw.csv 2026-04-22
https://www.frontaliereticino.ch/guida-frontaliere/disoccupazione-transfrontaliera/;svizzera disoccupazione;20;210;;0.00;unemployment;semrush-organic-raw.csv 2026-04-22
https://www.frontaliereticino.ch/guida-frontaliere/disoccupazione-transfrontaliera;se ho lavorato in svizzera risulto disoccupato in italia;20;170;;0.00;unemployment;semrush-organic-raw.csv 2026-04-22
https://frontaliereticino.ch/guida-frontaliere/disoccupazione-transfrontaliera/;frontalieri disoccupazione;14;140;;0.00;unemployment;semrush-organic-raw.csv 2026-04-22
https://www.frontaliereticino.ch/guida-frontaliere/disoccupazione-transfrontaliera/;disoccupazione per frontalieri;14;110;;0.00;unemployment;semrush-organic-raw.csv 2026-04-22
https://frontaliereticino.ch/guida-frontaliere/tempi-attesa-dogana/;traffico dogana chiasso;18;90;;0.00;border;semrush-organic-raw.csv 2026-04-22
https://www.frontaliereticino.ch/vivere-in-ticino/aziende-svizzera-italiana/;nomi ditte in svizzera che assumono;18;90;;0.00;companies;semrush-organic-raw.csv 2026-04-22
https://www.frontaliereticino.ch/vivere-in-ticino/aziende-svizzera-italiana;aziende in canton ticino;19;90;;0.00;companies;semrush-organic-raw.csv 2026-04-22
https://www.frontaliereticino.ch/compara-servizi/costo-della-vita/;costo vita svizzera vs italia;11;70;;0.00;cost-of-living;semrush-organic-raw.csv 2026-04-22
